Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190001,5.92,2.62
190002,6.89,4.11
190003,5.74,2.42
190004,1.91,-1.44
190005,5.10,1.71
190006,3.87,0.13
190007,3.51,-0.28
190008,2.14,-1.37
190009,3.08,-0.61
190010,4.65,0.95
190011,5.43,1.54
190012,1.65,-1.88
190101,3.47,0.17
190102,1.74,-1.04
190103,5.10,1.78
190104,5.55,2.20
190105,3.06,-0.33
190106,2.81,-0.93
190107,3.36,-0.43
190108,3.91,0.40
190109,2.77,-0.92
190110,3.62,-0.08
190111,2.32,-1.57
190112,7.14,3.61
190201,3.09,-0.21
190202,2.23,-0.55
190203,8.02,4.70
190204,2.90,-0.45
190205,3.51,0.12
190206,6.08,2.34
190207,2.68,-1.11
190208,4.25,0.74
190209,3.23,-0.46
190210,4.47,0.77
190211,1.70,-2.19
190212,4.76,1.23
190301,3.58,0.28
190302,4.16,1.38
190303,6.13,2.81
190304,2.10,-1.25
190305,0.73,-2.66
190306,3.69,-0.05
190307,4.36,0.57
190308,2.56,-0.95
190309,1.42,-2.27
190310,2.98,-0.72
190311,2.31,-1.58
190312,3.19,-0.34
190401,3.75,0.45
190402,2.07,-0.71
190403,3.14,-0.18
190404,4.06,0.71
190405,4.75,1.36
190406,2.76,-0.98
190407,4.04,0.25
190408,4.20,0.69
190409,6.09,2.40
190410,3.01,-0.69
190411,1.79,-2.10
190412,1.94,-1.59
190501,4.07,0.77
190502,1.66,-1.12
190503,1.20,-2.12
190504,1.69,-1.66
190505,3.02,-0.37
190506,3.69,-0.05
190507,3.58,-0.21
190508,2.14,-1.37
190509,4.13,0.44
190510,1.30,-2.40
190511,3.78,-0.11
190512,3.20,-0.33
190601,2.87,-0.43
190602,2.21,-0.57
190603,4.78,1.46
190604,2.99,-0.36
190605,4.14,0.75
190606,3.88,0.14
190607,4.25,0.46
190608,1.97,-1.54
190609,1.95,-1.74
190610,5.52,1.82
190611,3.51,-0.38
190612,3.51,-0.02
190701,2.78,-0.52
190702,2.37,-0.41
190703,2.45,-0.87
190704,3.95,0.60
190705,2.32,-1.07
190706,5.06,1.32
190707,5.36,1.57
190708,2.86,-0.65
190709,6.29,2.60
190710,4.45,0.75
190711,4.13,0.24
190712,3.41,-0.12
190801,2.74,-0.56
190802,4.37,1.59
190803,2.71,-0.61
190804,2.45,-0.90
190805,4.68,1.29
190806,2.05,-1.69
190807,3.24,-0.55
190808,3.94,0.43
190809,1.32,-2.37
