Washington December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190001,40.2,5.8
190002,38.9,-1.4
190003,52.8,5.2
190004,58.9,3.0
190005,64.4,0.8
190006,72.6,2.7
190007,77.7,-0.1
190008,71.5,-5.7
190009,65.8,-3.5
190010,54.0,-3.2
190011,41.3,-1.9
190012,41.0,4.9
190101,34.4,0.0
190102,39.0,-1.3
190103,47.2,-0.4
190104,53.4,-2.5
190105,63.7,0.1
190106,64.2,-5.7
190107,74.8,-3.0
190108,81.1,3.9
190109,63.3,-6.0
190110,63.0,5.8
190111,46.0,2.8
190112,38.1,2.0
190201,33.9,-0.5
190202,41.5,1.2
190203,45.4,-2.2
190204,53.7,-2.2
190205,61.8,-1.8
190206,68.8,-1.1
190207,73.7,-4.1
190208,76.8,-0.4
190209,67.7,-1.6
190210,59.6,2.4
190211,41.0,-2.2
190212,34.2,-1.9
190301,35.6,1.2
190302,37.3,-3.0
190303,44.7,-2.9
190304,52.5,-3.4
190305,62.4,-1.2
190306,73.0,3.1
190307,72.9,-4.9
190308,74.6,-2.6
190309,64.2,-5.1
190310,57.5,0.3
190311,40.7,-2.5
190312,35.6,-0.5
190401,36.6,2.2
190402,36.8,-3.5
190403,40.8,-6.8
190404,58.8,2.9
190405,63.2,-0.4
190406,70.5,0.6
190407,77.2,-0.6
190408,79.0,1.8
190409,71.7,2.4
190410,58.5,1.3
190411,48.8,5.6
190412,38.2,2.1
190501,34.6,0.2
190502,39.3,-1.0
190503,51.8,4.2
190504,58.8,2.9
190505,61.9,-1.7
190506,67.8,-2.1
190507,79.2,1.4
190508,76.4,-0.8
190509,67.9,-1.4
190510,50.3,-6.9
190511,44.2,1.0
190512,35.4,-0.7
190601,35.9,1.5
190602,41.0,0.7
190603,45.9,-1.7
190604,61.8,5.9
190605,62.6,-1.0
190606,66.3,-3.6
190607,84.4,6.6
190608,77.9,0.7
190609,68.6,-0.7
190610,57.7,0.5
190611,41.1,-2.1
190612,35.9,-0.2
190701,25.6,-8.8
190702,38.8,-1.5
190703,44.3,-3.3
190704,54.6,-1.3
190705,66.4,2.8
190706,68.2,-1.7
190707,78.0,0.2
190708,71.1,-6.1
190709,67.5,-1.8
190710,62.4,5.2
190711,46.7,3.5
190712,37.7,1.6
190801,36.1,1.7
190802,38.9,-1.4
190803,46.2,-1.4
190804,57.4,1.5
190805,59.7,-3.9
190806,69.2,-0.7
190807,80.5,2.7
190808,76.8,-0.4
190809,70.0,0.7
190810,55.6,-1.6
190811,47.4,4.2
190812,34.1,-2.0
190901,26.5,-7.9
190902,39.8,-0.5
190903,49.1,1.5
190904,54.0,-1.9
190905,61.4,-2.2
190906,71.0,1.1
190907,73.9,-3.9
190908,76.4,-0.8
190909,71.1,1.8
190910,56.5,-0.7
190911,42.6,-0.6
190912,29.9,-6.2
191001,32.4,-2.0
191002,34.0,-6.3
191003,53.1,5.5
191004,59.2,3.3
191005,68.3,4.7
191006,68.9,-1.0
191007,79.2,1.4
191008,73.7,-3.5
191009,67.2,-2.1
191010,57.2,0.0
191011,42.2,-1.0
191012,37.5,1.4
191101,32.6,-1.8
191102,37.0,-3.3
191103,51.6,4.0
191104,56.2,0.3
