Washington December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190001,5.09,-0.97
190002,4.51,-0.23
190003,4.93,0.78
190004,2.48,-0.35
190005,3.26,1.01
190006,2.62,0.73
190007,0.66,-0.24
190008,1.33,0.31
190009,2.07,0.12
190010,6.02,2.36
190011,4.80,-1.31
190012,7.64,1.17
190101,6.74,0.68
190102,6.11,1.37
190103,3.09,-1.06
190104,3.88,1.05
190105,2.34,0.09
190106,2.05,0.16
190107,0.61,-0.29
190108,0.18,-0.84
190109,2.97,1.02
190110,1.99,-1.67
190111,7.85,1.74
190112,4.25,-2.22
190201,4.24,-1.82
190202,9.02,4.28
190203,4.51,0.36
190204,4.09,1.26
190205,2.94,0.69
190206,1.06,-0.83
190207,1.96,1.06
190208,0.59,-0.43
190209,1.87,-0.08
190210,2.09,-1.57
190211,9.13,3.02
190212,9.01,2.54
190301,7.14,1.08
190302,2.04,-2.70
190303,4.35,0.20
190304,2.38,-0.45
190305,1.95,-0.30
190306,2.39,0.50
190307,1.08,0.18
190308,1.30,0.28
190309,3.27,1.32
190310,2.92,-0.74
190311,9.83,3.72
190312,4.00,-2.47
190401,5.60,-0.46
190402,8.36,3.62
190403,8.00,3.85
190404,2.94,0.11
190405,0.79,-1.46
190406,1.71,-0.18
190407,1.06,0.16
190408,0.45,-0.57
190409,0.64,-1.31
190410,2.61,-1.05
190411,6.79,0.68
190412,6.49,0.02
190501,5.18,-0.88
190502,2.69,-2.05
190503,4.71,0.56
190504,1.33,-1.50
190505,3.41,1.16
190506,3.66,1.77
190507,0.57,-0.33
190508,0.71,-0.31
190509,3.21,1.26
190510,5.34,1.68
190511,3.38,-2.73
190512,5.47,-1.00
190601,5.35,-0.71
190602,4.57,-0.17
190603,2.59,-1.56
190604,0.98,-1.85
190605,3.83,1.58
190606,2.91,1.02
190607,0.24,-0.66
190608,0.42,-0.60
190609,3.20,1.25
190610,4.48,0.82
190611,9.71,3.60
190612,7.42,0.95
190701,5.44,-0.62
190702,5.24,0.50
190703,3.35,-0.80
190704,3.11,0.28
190705,1.66,-0.59
190706,1.68,-0.21
190707,1.00,0.10
190708,1.68,0.66
190709,2.52,0.57
190710,0.99,-2.67
190711,6.12,0.01
190712,7.45,0.98
190801,4.55,-1.51
190802,4.40,-0.34
190803,5.59,1.44
190804,2.93,0.10
190805,2.80,0.55
190806,1.05,-0.84
190807,1.21,0.31
190808,1.18,0.16
190809,0.36,-1.59
190810,4.18,0.52
190811,4.24,-1.87
190812,4.82,-1.65
190901,6.85,0.79
190902,5.96,1.22
190903,2.51,-1.64
190904,1.30,-1.53
190905,2.13,-0.12
190906,1.03,-0.86
190907,1.78,0.88
190908,0.37,-0.65
190909,1.78,-0.17
190910,3.34,-0.32
190911,12.87,6.76
190912,4.52,-1.95
191001,6.28,0.22
191002,5.71,0.97
191003,3.96,-0.19
191004,2.52,-0.31
191005,1.87,-0.38
191006,1.35,-0.54
191007,0.16,-0.74
191008,0.49,-0.53
191009,1.60,-0.35
191010,4.77,1.11
191011,9.22,3.11
191012,5.24,-1.23
191101,5.38,-0.68
191102,2.63,-2.11
191103,1.66,-2.49
191104,1.44,-1.39
191105,4.07,1.82
191106,1.24,-0.65
191107,0.34,-0.56
191108,0.82,-0.20
191109,3.70,1.75
191110,1.10,-2.56
191111,6.93,0.82
191112,4.61,-1.86
191201,7.37,1.31
191202,4.44,-0.30
191203,1.89,-2.26
191204,2.72,-0.11
191205,2.57,0.32
191206,2.11,0.22
191207,1.18,0.28
191208,3.25,2.23
191209,1.21,-0.74
191210,3.83,0.17
191211,6.41,0.30
191212,6.65,0.18
191301,7.16,1.10
191302,2.04,-2.70
191303,3.00,-1.15
191304,1.75,-1.08
191305,2.42,0.17
191306,3.36,1.47
191307,0.80,-0.10
191308,0.70,-0.32
191309,2.53,0.58
191310,3.96,0.30
191311,6.80,0.69
191312,2.76,-3.71
191401,10.43,4.37
191402,3.54,-1.20
191403,2.73,-1.42
191404,3.05,0.22
191405,1.40,-0.85
191406,2.14,0.25
191407,0.38,-0.52
191408,0.12,-0.90
191409,3.44,1.49
191410,4.34,0.68
191411,6.11,0.00
191412,2.14,-4.33
191501,4.04,-2.02
191502,3.55,-1.19
191503,3.01,-1.14
191504,3.06,0.23
191505,3.97,1.72
191506,1.02,-0.87
191507,1.69,0.79
191508,0.10,-0.92
191509,0.96,-0.99
191510,4.50,0.84
191511,7.95,1.84
191512,8.36,1.89
191601,4.41,-1.65
191602,7.28,2.54
191603,8.66,4.51
191604,2.80,-0.03
191605,2.32,0.07
191606,2.36,0.47
191607,2.28,1.38
191608,0.41,-0.61
191609,1.02,-0.93
191610,1.76,-1.90
191611,5.15,-0.96
191612,4.91,-1.56
191701,4.49,-1.57
191702,3.16,-1.58
191703,5.13,0.98
191704,5.13,2.30
191705,1.69,-0.56
191706,2.28,0.39
191707,0.23,-0.67
191708,0.13,-0.89
191709,1.66,-0.29
191710,0.88,-2.78
191711,3.64,-2.47
191712,14.63,8.16
191801,6.29,0.23
191802,5.59,0.85
191803,4.35,0.20
191804,1.03,-1.80
191805,1.89,-0.36
191806,0.54,-1.35
191807,1.45,0.55
191808,1.90,0.88
191809,0.43,-1.52
191810,5.36,1.70
191811,4.91,-1.20
191812,6.41,-0.06
191901,8.46,2.40
191902,5.90,1.16
191903,4.46,0.31
191904,3.23,0.40
191905,2.25,0.00
191906,0.74,-1.15
191907,0.29,-0.61
191908,0.45,-0.57
191909,2.13,0.18
191910,2.14,-1.52
191911,5.71,-0.40
191912,4.60,-1.87
192001,5.74,-0.32
192002,0.72,-4.02
192003,4.04,-0.11
192004,3.71,0.88
192005,1.56,-0.69
192006,1.86,-0.03
192007,1.20,0.30
192008,1.75,0.73
192009,4.84,2.89
192010,5.35,1.69
192011,5.21,-0.90
192012,7.89,1.42
192101,8.61,2.55
192102,5.82,1.08
192103,4.49,0.34
192104,3.34,0.51
192105,1.79,-0.46
192106,1.98,0.09
192107,0.22,-0.68
192108,0.87,-0.15
192109,2.88,0.93
192110,4.56,0.90
192111,9.10,2.99
192112,5.48,-0.99
192201,2.91,-3.15
192202,2.97,-1.77
192203,4.67,0.52
192204,2.80,-0.03
192205,1.55,-0.70
192206,0.22,-1.67
192207,0.04,-0.86
192208,1.85,0.83
192209,2.09,0.14
192210,3.72,0.06
192211,2.08,-4.03
192212,7.81,1.34
192301,9.25,3.19
192302,2.33,-2.41
192303,3.14,-1.01
192304,2.27,-0.56
192305,2.23,-0.02
192306,2.32,0.43
192307,1.41,0.51
192308,1.35,0.33
192309,1.31,-0.64
192310,3.20,-0.46
192311,3.45,-2.66
192312,6.87,0.40
192401,4.97,-1.09
192402,5.83,1.09
192403,1.44,-2.71
192404,1.45,-1.38
192405,0.37,-1.88
192406,1.12,-0.77
192407,0.56,-0.34
192408,1.04,0.02
192409,2.18,0.23
192410,5.50,1.84
192411,6.67,0.56
192412,5.82,-0.65
192501,7.91,1.85
192502,5.73,0.99
192503,2.43,-1.72
192504,2.39,-0.44
192505,1.84,-0.41
192506,1.13,-0.76
192507,0.18,-0.72
192508,0.66,-0.36
192509,1.13,-0.82
192510,1.65,-2.01
192511,4.23,-1.88
192512,6.20,-0.27
192601,4.70,-1.36
192602,5.91,1.17
192603,1.26,-2.89
192604,1.41,-1.42
192605,2.67,0.42
192606,0.83,-1.06
192607,0.09,-0.81
192608,2.14,1.12
192609,2.70,0.75
192610,4.18,0.52
192611,7.04,0.93
192612,5.30,-1.17
192701,6.00,-0.06
192702,6.20,1.46
192703,3.27,-0.88
192704,2.02,-0.81
192705,2.99,0.74
192706,1.31,-0.58
192707,0.34,-0.56
192708,1.49,0.47
192709,4.20,2.25
192710,4.79,1.13
192711,8.95,2.84
192712,4.11,-2.36
192801,5.88,-0.18
192802,1.28,-3.46
192803,6.64,2.49
192804,3.97,1.14
192805,0.90,-1.35
192806,1.28,-0.61
192807,0.85,-0.05
192808,0.22,-0.80
192809,0.77,-1.18
192810,3.78,0.12
192811,3.55,-2.56
192812,5.04,-1.43
192901,3.21,-2.85
192902,1.54,-3.20
192903,3.65,-0.50
192904,2.98,0.15
192905,1.64,-0.61
192906,2.52,0.63
192907,0.23,-0.67
192908,0.45,-0.57
192909,0.52,-1.43
192910,1.48,-2.18
192911,0.85,-5.26
192912,6.93,0.46
193001,2.62,-3.44
193002,6.35,1.61
193003,2.93,-1.22
193004,2.40,-0.43
193005,2.27,0.02
193006,1.61,-0.28
193007,0.09,-0.81
193008,0.25,-0.77
193009,1.73,-0.22
193010,3.18,-0.48
193011,3.05,-3.06
193012,2.38,-4.09
193101,6.73,0.67
193102,3.36,-1.38
193103,6.09,1.94
193104,2.38,-0.45
193105,1.16,-1.09
193106,3.81,1.92
193107,0.17,-0.73
193108,0.17,-0.85
193109,2.87,0.92
193110,3.78,0.12
193111,5.26,-0.85
193112,7.55,1.08
193201,5.64,-0.42
193202,5.78,1.04
193203,7.19,3.04
193204,3.57,0.74
193205,1.60,-0.65
193206,0.58,-1.31
193207,1.56,0.66
193208,0.86,-0.16
193209,0.64,-1.31
193210,3.81,0.15
193211,9.83,3.72
193212,6.72,0.25
193301,7.42,1.36
193302,3.92,-0.82
193303,5.61,1.46
193304,0.98,-1.85
193305,3.08,0.83
193306,1.59,-0.30
193307,0.49,-0.41
193308,0.93,-0.09
193309,4.00,2.05
193310,5.39,1.73
193311,3.41,-2.70
193312,16.61,10.14
193401,8.14,2.08
193402,1.76,-2.98
193403,4.68,0.53
193404,1.61,-1.22
193405,2.13,-0.12
193406,0.75,-1.14
193407,0.77,-0.13
193408,0.60,-0.42
193409,2.04,0.09
193410,5.97,2.31
193411,8.21,2.10
193412,6.91,0.44
193501,8.72,2.66
193502,2.70,-2.04
193503,4.89,0.74
193504,1.57,-1.26
193505,0.64,-1.61
193506,1.55,-0.34
193507,0.90,0.00
193508,0.61,-0.41
193509,1.57,-0.38
193510,2.46,-1.20
193511,2.60,-3.51
193512,4.46,-2.01
193601,8.26,2.20
193602,5.13,0.39
193603,3.91,-0.24
193604,1.29,-1.54
193605,2.90,0.65
193606,3.90,2.01
193607,0.89,-0.01
193608,0.56,-0.46
193609,1.51,-0.44
193610,0.73,-2.93
193611,0.67,-5.44
193612,7.20,0.73
193701,3.16,-2.90
193702,6.24,1.50
193703,3.27,-0.88
193704,5.94,3.11
193705,1.39,-0.86
193706,5.05,3.16
193707,0.43,-0.47
193708,1.42,0.40
193709,1.60,-0.35
193710,3.12,-0.54
193711,9.81,3.70
193712,8.45,1.98
193801,4.09,-1.97
193802,3.93,-0.81
193803,5.48,1.33
193804,2.59,-0.24
193805,1.15,-1.10
193806,0.87,-1.02
193807,0.42,-0.48
193808,0.37,-0.65
193809,0.96,-0.99
193810,3.85,0.19
193811,4.42,-1.69
193812,5.63,-0.84
193901,6.29,0.23
193902,5.06,0.32
193903,2.83,-1.32
193904,1.01,-1.82
193905,1.72,-0.53
193906,1.79,-0.10
193907,0.93,0.03
193908,0.46,-0.56
193909,0.97,-0.98
193910,2.98,-0.68
193911,2.97,-3.14
193912,8.85,2.38
194001,3.43,-2.63
194002,8.61,3.87
194003,4.86,0.71
194004,3.32,0.49
194005,1.79,-0.46
194006,0.39,-1.50
194007,1.28,0.38
194008,0.42,-0.60
194009,2.39,0.44
194010,5.66,2.00
194011,4.73,-1.38
194012,5.34,-1.13
194101,4.73,-1.33
194102,2.30,-2.44
194103,1.72,-2.43
194104,2.33,-0.50
194105,4.22,1.97
194106,2.33,0.44
194107,0.38,-0.52
194108,2.40,1.38
194109,3.85,1.90
194110,3.13,-0.53
194111,5.02,-1.09
194112,7.65,1.18
194201,3.09,-2.97
194202,3.32,-1.42
194203,2.45,-1.70
194204,2.30,-0.53
194205,3.44,1.19
194206,3.22,1.33
194207,1.46,0.56
194208,0.39,-0.63
194209,0.27,-1.68
194210,3.04,-0.62
194211,8.75,2.64
194212,6.92,0.45
194301,3.60,-2.46
194302,3.77,-0.97
194303,4.76,0.61
194304,3.44,0.61
194305,1.98,-0.27
194306,2.08,0.19
194307,0.59,-0.31
194308,1.17,0.15
194309,0.44,-1.51
194310,4.88,1.22
194311,2.19,-3.92
194312,3.75,-2.72
194401,4.00,-2.06
194402,3.54,-1.20
194403,2.52,-1.63
194404,3.27,0.44
194405,1.89,-0.36
194406,1.75,-0.14
194407,0.28,-0.62
194408,0.43,-0.59
194409,2.75,0.80
194410,1.76,-1.90
194411,5.67,-0.44
194412,2.44,-4.03
194501,5.58,-0.48
194502,5.67,0.93
194503,6.06,1.91
194504,2.91,0.08
194505,3.23,0.98
194506,0.87,-1.02
194507,0.29,-0.61
194508,0.48,-0.54
194509,3.15,1.20
194510,3.56,-0.10
194511,7.83,1.72
194512,6.70,0.23
194601,6.59,0.53
194602,5.51,0.77
194603,4.58,0.43
194604,2.74,-0.09
194605,1.16,-1.09
194606,3.37,1.48
194607,0.69,-0.21
194608,0.44,-0.58
194609,1.55,-0.40
194610,4.31,0.65
194611,6.29,0.18
194612,6.45,-0.02
194701,5.93,-0.13
194702,3.80,-0.94
194703,2.92,-1.23
194704,2.79,-0.04
194705,0.66,-1.59
194706,3.29,1.40
194707,1.30,0.40
194708,0.51,-0.51
194709,2.10,0.15
194710,8.47,4.81
194711,4.28,-1.83
194712,5.74,-0.73
194801,5.33,-0.73
194802,6.65,1.91
194803,3.16,-0.99
194804,3.97,1.14
194805,5.95,3.70
194806,3.21,1.32
194807,1.84,0.94
194808,1.92,0.90
194809,2.82,0.87
194810,2.68,-0.98
194811,7.84,1.73
194812,8.08,1.61
194901,1.35,-4.71
194902,8.75,4.01
194903,3.29,-0.86
194904,1.62,-1.21
194905,1.45,-0.80
194906,0.86,-1.03
194907,0.76,-0.14
194908,0.68,-0.34
194909,1.77,-0.18
194910,3.46,-0.20
194911,7.63,1.52
194912,7.07,0.60
195001,7.37,1.31
195002,6.96,2.22
195003,7.16,3.01
195004,3.37,0.54
195005,1.29,-0.96
195006,2.10,0.21
195007,0.94,0.04
195008,1.20,0.18
195009,1.19,-0.76
195010,7.98,4.32
195011,7.39,1.28
195012,7.22,0.75
195101,7.92,1.86
195102,6.87,2.13
195103,4.47,0.32
195104,0.82,-2.01
195105,2.11,-0.14
195106,1.29,-0.60
195107,0.43,-0.47
195108,1.18,0.16
195109,2.11,0.16
195110,6.44,2.78
195111,5.86,-0.25
195112,5.95,-0.52
195201,5.16,-0.90
195202,3.36,-1.38
195203,3.06,-1.09
195204,1.78,-1.05
195205,1.44,-0.81
195206,2.45,0.56
195207,0.38,-0.52
195208,0.72,-0.30
195209,0.59,-1.36
195210,0.87,-2.79
195211,1.44,-4.67
195212,6.56,0.09
